legacy_make,legacy_model,legacy_variant_count,legacy_body_types,current_status,selection_decision,current_model_name,generation_action,lineup_refresh_needed,price_refresh_needed,modern_feature_refresh_needed,audited_replacement,reason,verification_source,final_selected,final_priority,refresh_effort,recommendation_role,drop_reason
,Go+,9,MPV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz A-Class,2,Hatchback,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Amg Gt 4-Door Coupe,1,Coupe,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Amg-Gt,3,Coupe,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz B-Class,4,MPV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz C-Class,6,Coupe|Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz C-Class Cabriolet,1,Convertible,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Cla-Class,3,Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Cls,1,Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz E-Class,8,Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz E-Class All Terrain,1,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz E-Class Cabriolet,1,Convertible,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz G-Class,2,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Gla-Class,6,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Glc,2,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Gle,2,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Gls,5,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz Maybach,2,Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz S-Class,3,Coupe|Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz S-Class Cabriolet,1,Convertible,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Mercedes-Benz V-Class,3,MPV|MUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Cullinan,1,SUV,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Dawn,1,Convertible,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Drophead Coupe,1,Convertible,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Ghost Series Ii,2,Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Phantom,2,Sedan,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Phantom Coupe,1,Coupe,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
,Rolls-Royce Wraith,1,Coupe,bad_legacy_identity,DROP_DUPLICATE_OR_BAD_IDENTITY,,drop,False,False,False,False,Raw legacy row has missing make; mostly Mercedes/Rolls-Royce/Datsun Go+ identities and should not enter compact dataset without repair.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Aston Martin,Db 11,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Aston Martin,Rapide,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Aston Martin,Vantage,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A3,4,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A3 Cabriolet,1,Convertible,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A4,2,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A5,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A5 Cabriolet,1,Convertible,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A6,2,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,A8 L,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,Q3,4,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,Q5,4,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,Q7,6,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,Q8,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,R8,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,Rs5,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,Rs7,1,"Sedan, Coupe",not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Audi,S5,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bajaj,Qute (Re60),2,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bentley,Bentayga,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bentley,Continental Gt,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bentley,Flying Spur,2,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bentley,Mulsanne,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,3-Series,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,5-Series,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,6-Series,4,Coupe|Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,7-Series,6,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,M2 Competition,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,M4,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,M5,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,X1,5,"Crossover, SUV|SUV|SUV, Crossover",not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,X3,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,X4,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,X5,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,X7,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bmw,Z4 Roadster,2,"Sports, Convertible",not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Bugatti,Chiron,2,Sports,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Ultra-luxury legacy model is outside the current bounded India recommendation refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Datsun,Go,9,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Datsun,Redi-Go,6,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Dc,Avanti,1,Coupe,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ferrari,458 Speciale,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ferrari,458 Spider,1,"Coupe, Convertible",not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ferrari,488 Gtb,2,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ferrari,812 Superfast,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ferrari,Gtc4 Lusso,2,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
